ROM Name;Description;Category;Year;Manufacturer;CHD name;Set;P/C;1g1r;exclusion notes
5;5;Maze / Shooter Small;1981;Sega;;5;P;1;
600;600;Maze;1981;Konami;;turtles;C;0;Clone
yard;10 Yard Fight (Japan);Sports / Football Amer.;1983;Irem;;yard;P;1;
vsyard2;10 Yard Fight (Vs. version Japan, set 2);Sports / Football Amer.;1984;Irem;;yard;C;0;Clone
vsyard;10 Yard Fight (Vs. version World, 11-05-84);Sports / Football Amer.;1984;Irem;;yard;C;0;Clone
1941j;1941 - Counter Attack (Japan);Shooter / Flying Vertical;1990;Capcom;;1941;C;0;Clone
1941;1941 - Counter Attack (World);Shooter / Flying Vertical;1990;Capcom;;1941;P;1;
1942;1942 (set 1);Shooter / Flying Vertical;1984;Capcom;;1942;P;1;
1942a;1942 (set 2);Shooter / Flying Vertical;1984;Capcom;;1942;C;0;Clone
1942b;1942 (set 3);Shooter / Flying Vertical;1984;Capcom;;1942;C;0;Clone
1943j;1943 - The Battle of Midway (Japan);Shooter / Flying Vertical;1987;Capcom;;1943;C;0;Clone
1943;1943 - The Battle of Midway (US);Shooter / Flying Vertical;1987;Capcom;;1943;P;1;
1943mii;1943 - The Battle of Midway Mark II (US);no_catver;1987;Capcom;;1943mii;P;1;
1943kai;1943 Kai - Midway Kaisen;Shooter / Flying Vertical;1987;Capcom;;1943kai;P;1;
1944j;1944: The Loop Master (Japan 000620);Shooter / Flying Vertical;2000;Capcom, supported by Eighting/Raizing;;1944;C;0;Clone
1944;1944: The Loop Master (USA 000620);Shooter / Flying Vertical;2000;Capcom, supported by Eighting/Raizing;;1944;P;1;
1945kiii;1945k III;no_catver;2000;Oriental;;1945kiii;P;1;
19xxa;19XX: The War Against Destiny (Asia 951207);Uncategorized;1996;Capcom;;19xx;C;0;Clone
19xxh;19XX: The War Against Destiny (Hispanic 951218);Shooter / Flying Vertical;1996;Capcom;;19xx;C;0;Clone
19xxjr1;19XX: The War Against Destiny (Japan 951207);Shooter / Flying Vertical;1996;Capcom;;19xx;C;0;Clone
19xxj;19XX: The War Against Destiny (Japan 951225);Uncategorized;1996;Capcom;;19xx;C;0;Clone
19xx;19XX: The War Against Destiny (USA 951207);Shooter / Flying Vertical;1996;Capcom;;19xx;P;1;
openice;2 On 2 Open Ice Challenge (rev 1.21);Sports / Hockey;1995;Midway;;openice;P;1;
2020bb;2020 Super Baseball (set 1);Sports / Baseball;1991;SNK / Pallas;;2020bb;P;1;
